,maker,car_name,prices,base_price,trim,color,year,milage,permit_validity,repair_history,guarantee,engine_size,city,prefecture
1321,スズキ,ハスラー 660 G 衝突軽減ブレーキ,89.9,83.4,クロカン・ＳＵＶ,桃Ｍ白,2019,4万km,2024(R06)年03月,なし,保証付,660CC,貝塚市,大阪府
1322,ダイハツ,キャスト スタイル 660 G リミテッド SAIII 4WD 全方位カメラ 純正ナビ フルセグTV ETC,118.7,109.9,ハッチバック,青,2019,4万km,2024(R06)年03月,なし,保証付,660CC,宮崎市,宮崎県
1323,スズキ,スペーシア 660 ハイブリッド X ナビ フルセグTV 衝突被害軽減システム,125.5,114.9,ハッチバック,白,2018,2.5万km,車検整備付,なし,保証付,660CC,高知市,高知県
1324,日産,デイズルークス 660 ハイウェイスター Gターボ ターボ 衝突軽減 全周囲カメラ 純正SDナビ,109.9,101.9,ハッチバック,茶,2018,2.1万km,2025(R07)年02月,なし,保証付,660CC,美濃加茂市,岐阜県
1325,ホンダ,N-WGN 660 G スタイリッシュパッケージ メモリーナビ　リアカメラ　フルセグ,80.1,73.8,ハッチバック,茶真珠,2016,5.4万km,2025(R07)年06月,なし,保証付,660CC,熊本市中央区,熊本県
1326,ダイハツ,ムーヴ X リミテッドIISAIII シートヒーター　衝突軽減ブレーキ　ETC,113.5,98.8,ハッチバック,白真珠,2021,1.5万km,車検整備無,なし,保証付,660CC,東海市,愛知県
1327,スズキ,アルト 660 L CDオーディオ,69.9,62.8,ハッチバック,銀,2020,1.6万km,車検整備付,なし,保証付,660CC,東広島市,広島県
1328,ダイハツ,タント 660 カスタム X セレクション 全方位モニター両側パワースライド鑑定書付,109,94.8,ハッチバック,深紫,2020,2万km,車検整備付,あり,保証付,660CC,八王子市,東京都
1329,スズキ,ジムニー 660 XC 4WD 社外ナビ 衝突軽減 4WD レーンキープ LED,190,180.9,クロカン・ＳＵＶ,緑,2019,1.2万km,2024(R06)年05月,なし,保証付,660CC,北九州市八幡東区,福岡県
1330,ホンダ,N-BOX 660 L 届出済未使用車 ホンダセンシング アダプテ,149.9,140.9,ハッチバック,黒,2023,6km,2026(R08)年08月,なし,保証付,660CC,つくば市,茨城県
1331,ダイハツ,ウェイク 660 Gターボ レジャーエディション SAIII 純正ナビ フルセグ BT Bカメ 両パワ Pスタ,68.9,60.6,ハッチバック,真珠,2018,12万km,2025(R07)年06月,なし,保証付,660CC,堺市西区,大阪府
1332,ダイハツ,ミライース L　SAIII キーレスエントリー/スマートアシスト/マ,80.9,74.8,ハッチバック,薄青,2022,1万km,2025(R07)年09月,なし,保証付,660CC,小山市,栃木県
1333,日産,デイズ 660 X 360カメラ 衝突軽減 ナビTV スマートキー,50.2,39.8,ハッチバック,銀,2018,4.8万km,車検整備付,なし,保証付,660CC,野洲市,滋賀県
1334,ホンダ,N-WGN 660 G ターボパッケージ ,98.9,91.8,ハッチバック,青,2017,1.8万km,2024(R06)年10月,なし,保証付,660CC,糸島市,福岡県
1335,マツダ,フレアクロスオーバー 660 XS 4WD ・フル装備・ABS・Wエアバック・キーレス・,119.4,109.8,クロカン・ＳＵＶ,緑,2018,4.5万km,車検整備付,なし,保証付,660CC,諫早市,長崎県
1336,スズキ,ワゴンR 660 FA スズキ セーフティ サポート非装着車 ETC　ドラレコ　ナンバーフレーム付き,89.8,79.8,ハッチバック,黒,2022,0.8万km,2024(R06)年03月,なし,保証付,660CC,八王子市,東京都
1337,ホンダ,N-WGN 660 L ホンダ センシング 2年保証付　レンタカー　運転支援　ナビ,121.6,112.8,ハッチバック,白真珠,2021,0.8万km,車検整備付,なし,保証付,660CC,船橋市,千葉県
1338,日産,デイズルークス 660 X Vセレクション 全方位カメラ　純正ナビ両側オートスライド,106.8,99.0,ハッチバック,茶,2019,1.2万km,2024(R06)年01月,なし,保証付,660CC,宇都宮市,栃木県
1339,日産,デイズルークス 660 ハイウェイスターX Gパッケージ 両側自動ドア,84.9,75.0,ハッチバック,銀黒II,2017,3.9万km,2024(R06)年01月,なし,保証付,660CC,川口市,埼玉県
1340,ダイハツ,ムーヴキャンバス 660 G メイクアップ SAII 禁煙車 8型ナビ 両側電動  360カメラ ETC,90.2,79.8,ハッチバック,茶灰,2016,5.4万km,車検整備付,なし,保証付,660CC,野洲市,滋賀県
1341,日産,デイズ 660 X 禁煙車 衝突軽減装置 SDナビ スマートキー,119.9,110.4,ハッチバック,黒,2023,420km,2025(R07)年09月,なし,保証付,660CC,摂津市,大阪府
1342,日産,デイズ 660 X ナビ　フルTV　バックカメラ　ETC,85.6,78.0,ハッチバック,黒,2019,5.1万km,車検整備付,なし,保証付,660CC,熊本市東区,熊本県
1343,スズキ,ハスラー 660 Xターボ ワンオーナー社外ナビフルセグ,80.5,69.9,クロカン・ＳＵＶ,赤黒II,2014,5.2万km,車検整備付,なし,保証付,660CC,八代市,熊本県
